Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,Percent_Rucks_Won,Mauls_Won,Total_Mauls,Percent_Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,Percent_Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,Percent_Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
7,1,0,1,0,1,2,50,0.33,0,0,19,181,115,205,0.2,3,14,10,90,97,0.928,0,0,0,19,109,21,0.84,0,0,1,5,0,20,2,4,11,0.909,7,0,0,0,1,8,0,0,12
5,4,3,4,75,1,1,100,0.8,0,0,21,134,101,381,0.8,6,21,10,67,69,0.971,0,0,0,9,155,14,0.92,5,1,0,0,0.833,11,4,2,20,0.733,12,0,0,0,0,29,1,6,7
11,2,1,2,50,2,2,100,0.75,0,0,19,229,192,408,0.66,7,19,12,15,1,0.988,7,7,1,8,117,20,0.85,7,3,0,3,0.7,14,1,0,9,0.933,7,0,0,0,1,18,1,10,13
0,2,2,2,100,1,1,100,1,0,1,19,136,106,385,0.34,4,20,7,76,80,0.95,4,6,0,16,213,19,0.92,3,0,3,7,1,9,0,1,14,1,13,1,0,0,0,17,0,3,7
2,4,3,4,75,0,0,0,0.75,0,0,21,87,83,341,0.8,8,20,7,53,57,0.93,0,0,0,13,98,4,0.96,11,1,1,6,0.917,14,3,2,15,0.824,14,2,0,0,1,26,1,12,14
10,1,0,1,0,0,1,0,0,0,0,19,115,92,234,0.2,4,4,12,67,69,0.971,0,0,0,14,92,20,0.82,6,1,1,11,0.857,15,2,3,14,0.882,14,3,0,0,0,5,0,7,14
1,3,1,3,33.33333333,3,5,60,0.5,0,0,41,77,106,376,0.51,7,13,7,71,74,0.959,6,6,1,10,103,22,0.82,9,2,0,5,0.818,10,0,1,12,1,7,0,0,0,1,26,1,11,11
9,3,2,3,66.66666667,1,2,50,0.6,0,1,35,146,118,490,0.49,11,22,10,68,72,0.944,5,5,1,17,101,13,0.89,5,0,2,9,1,12,1,0,10,0.923,11,1,0,0,0,22,0,5,7
6,1,0,1,0,6,6,100,0.88,1,1,23,161,121,439,0.54,4,13,10,99,10,0.99,1,1,1,10,130,10,0.93,7,0,1,5,1,15,0,0,12,1,6,0,0,0,1,26,1,7,13
4,2,1,2,50,0,0,0,0.5,0,0,16,155,111,396,0.46,4,10,8,83,87,0.954,3,4,0,14,126,13,0.91,5,1,0,7,0.833,12,0,0,15,1,13,1,0,0,0,12,0,6,6
